x1,x3
Agricoltura,1
Al Dettaglio,1
Amministrazione,1
Arti,1
Artigianato,1
Assicurazioni,1
Chimico Farmaceutico,1
Contabilità,1
Costruzioni,1
Design e Architettura,1
Finanza,1
Giurisprudenza,1
Immobiliare,1
Industria e Produzione,1
Informatica,1
Ingegneria,1
Istruzione e Formazione,1
Logistica e Trasporti,1
Marketing,1
Meccanica,1
Media e Editoria,1
Risorse Umane,1
Ristorazione,1
Sanità,1
Scientifico,1
Servizi Vari,1
Servizio Clienti,1
Sicurezza,1
Sociale,1
Turistico-Alberghiero,1
Servizi Vari,1
Ristorazione,1
Turistico-Alberghiero,1
Vendite,1
Agriculture,2
Retail,2
Administration,2
Arts,2
Handicraft,2
Insurance,2
Pharmaceutical chemical,2
Accounting,2
Buildings,2
Design and Architecture,2
Finance,2
Law,2
Real estate,2
Industry and Production,2
Computer technology,2
Engineering,2
Education and Training,2
Logistics and Transportation,2
Marketing,2
Mechanics,2
Media and Publishing,2
Human resources,2
Catering,2
Health,2
Scientific,2
Various services,2
Customer care,2
Safety,2
Social,2
Tourist-Hotel,2
Various services,2
Catering,2
Tourist-Hotel,2
Sales,2
Agricultura,3
Venta minorista,3
Administración,3
Letras,3
Artesanía,3
Seguro,3
Químico farmacéutico,3
Contabilidad,3
Edificios,3
Diseño y Arquitectura,3
Finanzas,3
Ley,3
Bienes raíces,3
Industria y producción,3
Tecnologia computacional,3
Ingenieria,3
Educación y entrenamiento,3
Logística y transporte,3
Márketing,3
Mecánica,3
Medios y publicación,3
Recursos humanos,3
Abastecimiento,3
Salud,3
Científico,3
Varios servicios,3
Atención al cliente,3
Seguridad,3
Social,3
Turista-Hotel,3
Varios servicios,3
Abastecimiento,3
Turista-Hotel,3
Ventas,3
Agriculture,4
Vendre au détail,4
Administration,4
Arts,4
Artisanat,4
Assurance,4
Chimie pharmaceutique,4
Comptabilité,4
Bâtiments,4
Conception et architecture,4
La finance,4
Droit,4
Immobilier,4
Industrie et production,4
La technologie informatique,4
Ingénierie,4
Éducation et formation,4
Logistique et transport,4
Commercialisation,4
Mécanique,4
Médias et édition,4
Ressources humaines,4
Restauration,4
Santé,4
Scientifique,4
Divers services,4
Service client,4
Sécurité,4
Social,4
Tourist-Hôtel,4
Divers services,4
Restauration,4
Tourist-Hôtel,4
Ventes,4
农业,5
零售,5
行政,5
艺术,5
手工业,5
保险,5
医药化工,5
会计,5
建筑物,5
设计与建筑,5
金融,5
法律,5
房地产,5
工业和生产,5
计算机技术,5
工程,5
教育和培训,5
物流运输,5
营销,5
力学,5
媒体与出版,5
人力资源,5
餐饮,5
健康,5
科学的,5
各种服务,5
客户关怀,5
安全,5
社会的,5
旅游酒店,5
各种服务,5
餐饮,5
旅游酒店,5
销售量,5
農業,6
小売り,6
管理,6
芸術,6
手芸,6
保険,6
医薬品化学,6
会計,6
建物,6
デザインとアーキテクチャ,6
ファイナンス,6
法律,6
不動産,6
産業と生産,6
コンピューターテクノロジー,6
エンジニアリング,6
教育と訓練,6
ロジスティクスと輸送,6
物流と輸送,6
ロジスティクスと輸送,6
物流と輸送,6
ロジスティクスと輸送,6
物流と輸送,6
ロジスティクスと輸送,6
マーケティング,6
力学,6
メディアと出版,6
人事,6
ケータリング,6
健康,6
科学的,6
各種サービス,6
カスタマーケア,6
安全性,6
ソーシャル,6
ツーリストホテル,6
観光ホテル,6
各種サービス,6
ケータリング,6
ツーリストホテル,6
販売,6
